id,vote_district,poster_num,address,location_name,status,lat,lng
1,第15投票区,1,群馬県館林市東美園町4-5,小桑原3号公園東側,未,36.2332415,139.5379598
2,第15投票区,2,群馬県館林市南美園町7-13,小桑原2号公園西側,未,36.2309557,139.5402405
3,第15投票区,3,群馬県館林市美園町7-3,勤労者会館東側ネットフェンス,未,36.234662,139.5330112
4,第15投票区,4,群馬県館林市美園町23-25,加藤文明宅西側フェンス,未,36.2347579,139.530347
5,第15投票区,5,群馬県館林市美園町27-1,美園小学校北側美園橋沿い,未,36.2317649,139.5317803
6,第15投票区,6,群馬県館林市美園町10-26,美園町公園北側,未,36.2336732,139.5341648
7,第15投票区,7,群馬県館林市東美園町20,東部中央公園北入口東側ネットフェンス,未,36.2330607,139.5400919
8,第16投票区,1,群馬県館林市堀工町1479-1,堀工町会館南側,未,36.2229383,139.530941
9,第16投票区,2,群馬県館林市堀工町1102-11,茂林寺公園駐車場東側,未,36.2248334,139.5356737
10,第16投票区,3,群馬県館林市堀工町759-2,松本克之宅西山林,未,36.2283352,139.5371314
11,第16投票区,4,群馬県館林市堀工町809,須永和行宅南畑(県道江口館林線沿),未,36.2278614,139.5400634
12,第16投票区,5,群馬県館林市分福町847-42,分福県営住宅北側,済,36.2233066,139.5243538
13,第16投票区,6,群馬県館林市堀工町1695,滝沢進宅北道路用地,未,36.2271915,139.5272302
14,第16投票区,7,群馬県館林市堀工町1900-84,(有)松本鐵工所西畑,未,36.2252301,139.5241405
15,第17投票区,1,群馬県館林市青柳町1751-78,第三中学校正門コンクリート塀,未,36.2247805,139.5149314
16,第17投票区,2,群馬県館林市青柳町877,鍵田京子宅西側ブロック塀(国道122号線沿),済,36.2231301,139.519357
17,第17投票区,3,群馬県館林市諏訪町1049-3,青柳県営住宅南側ネットフェンス,未,36.2267773,139.5218191
18,第17投票区,4,群馬県館林市諏訪町1446-3,青柳緑地東側(県道佐野行田線沿),未,36.2306747,139.5216362
19,第17投票区,5,群馬県館林市苗木町1724-5,苗木会館北側,未,36.2286901,139.5122813
20,第17投票区,6,群馬県館林市青柳町1862-40,金子利政宅ブロック塀(県道熊谷館林線沿),未,36.225211,139.5176284
21,第17投票区,7,群馬県館林市苗木町2497-1,館林高等看護学院東側ネットフェンス,未,36.2315694,139.5033055
22,第18投票区,1,群馬県館林市近藤町178-455,近藤町市営住宅(第十小学校正門前),未,36.2400049,139.5029614
23,第18投票区,2,群馬県館林市近藤町674,特定公共下水道ポンプ場西側フェンス,未,36.2369622,139.5010715
24,第18投票区,3,群馬県館林市近藤町54-2,市斎場東側駐車場北側植栽東隅,未,36.234109,139.507659
25,第18投票区,4,群馬県館林市近藤町2-101,近藤集会所前ネットフェンス(菅原神社西),済,36.2321984,139.5134562
26,第18投票区,5,群馬県館林市近藤町559,近藤開拓北ちびっこ広場西側フェンス,済,36.239174,139.4946909
27,第18投票区,6,群馬県館林市近藤町185-14,近藤会館南植栽,済,36.2382832,139.5093588
28,第18投票区,7,群馬県館林市近藤町782,川村克美宅西側ブロック塀,未,36.2337382,139.5009668
